ID,Category,Severity,Title,Status,Resolution,Implementation,Verification,Evidence_and_impact,Source
35,公開API・Realtime,高,idempotency keyが参加者を跨いで重複応答を開示する,修正済み。local検証済み,idempotency keyをparticipant token hashへ拘束した。別participantの既存responseを返さない。,src/comments/repository.js,Stage 4 comments。code review,一意制約と照会条件がsession+keyだけである。他参加者が同じkeyを送ると先行コメント本文と状態をduplicate応答で受け取る。,"src/comments/repository.js:10-11,46-67,251-260"
36,公開API・Realtime,中,失効済みWebSocketが無通信時に残り続ける,修正済み。local検証済み,Durable Object alarmで5分ごとにauth sessionとmembershipとlive sessionを再検証する。,src/realtime/comment-room.js,Stage 6 realtime,接続後のauth/session再検証はイベントbroadcast時だけである。無通信中は失効・権限剥奪を検出しない。,src/realtime/comment-room.js:170-228
37,公開API・Realtime,中,Realtime ticket消費と取得の間でcron削除競合が起きる,修正済み。local検証済み,ticket消費を条件付きUPDATEと同一statement結果で確定した。,src/realtime/repository.js,Stage 6 realtime,ticketはUPDATEでconsumedにした後に別queryでSELECTする。cleanupはconsumed行を即削除する。間に入るとtokenを消費したのに401となり再試行できない。,"src/realtime/repository.js:49-99,300-317"
38,AIジョブ,高,古いmoderation workerが新しい成功結果を上書きできる,修正済み。local検証済み,moderation完了をclaimed_atとattempt_count一致へ拘束した。,src/ai/repository.js,Stage 7 AI。Final hardening,結果UPSERTを先に実行しjobの条件付き完了UPDATEを後に実行する。job UPDATEがchanges=0でもSQL失敗ではないためbatchはcommitし得る。,src/ai/repository.js:250-283
39,AIジョブ,高,古いtranslation workerが新しい翻訳を上書きできる,修正済み。local検証済み,translation完了をclaimed_atとattempt_count一致へ拘束した。,src/ai/repository.js,Stage 7 AI。Final hardening,translation UPSERTがjob ownership確認より先にcommit対象へ入る。,src/ai/repository.js:285-327
40,AIジョブ,高,古いtranslation workerがRealtime translation:ready相当イベントを生成できる,修正済み。local検証済み,translation realtime eventも成功jobのexact claim identityへ拘束した。,src/ai/repository.js; src/realtime/repository.js,Stage 7 AI,translation保存とRealtime event生成がjob state conflict判定より前に行われる。,src/ai/repository.js:329-355
41,AIジョブ,高,3回目processing中にworker停止するとjobが永久停止する,修正済み。local検証済み,stale processing jobを5分cronでretry又はattempt上限時failedへ閉じる。,src/ai/repository.js; src/index.js; wrangler.toml,Stage 7 AI。precision boundary,stale recoveryは`attempt_count < 3`だけをretryへ戻す。attempt_count=3のprocessing行をfailedへ閉じる経路がない。,src/ai/repository.js:421-437
42,AIジョブ,中,skipAiJobが更新件数0を成功として扱う,修正済み。local検証済み,skipはexact processing claimの更新件数1を必須にした。,src/ai/repository.js,Stage 7 AI,stale worker又は状態競合時もprocessorへskipped成功を返す。,src/ai/repository.js:373-380
43,AIジョブ,中,failOrRetryAiJobが更新件数0を成功として扱う,修正済み。local検証済み,fail/retryはexact processing claimの更新件数1を必須にした。,src/ai/repository.js,Stage 7 AI,jobを変更できなかった場合もretry/failed処理済みとして扱う。,src/ai/repository.js:382-397
44,AIジョブ,高,Queue送信失敗後の再dispatchが日次cronまで行われない,修正済み。local検証済み,AI recovery cronを5分間隔へ追加した。Queue失敗jobを再回収する。,src/index.js; wrangler.toml,Stage 7 AI。precision boundary,送信例外はログだけで握り潰す。DB jobはqueuedのまま残る。回収cronは1日1回なので最大ほぼ24時間遅延する。,src/ai/processor.js:24-36; wrangler.toml:61-63
45,PDF・分析,高,切断後の滞在時間を最大30分まで過大計上する,修正済み。local検証済み,現在pageから切断後までのtail dwellを加算しない。page event区間だけを集計する。,src/pdf-analysis/repository.js,Stage 8 PDF,最終page eventからsnapshot時刻までを滞在とみなし30分でcapする。disconnect/heartbeat/idle eventがないため短時間閲覧でも1800秒になり得る。,src/pdf-analysis/repository.js:697-713
46,PDF・分析,中,同じclientVersionの競合更新で敗者もaccepted=trueになり得る,修正済み。local検証済み,page updateのaccepted判定をactual mutationとevent IDへ拘束した。,src/pdf-analysis/repository.js,Stage 8 PDF,返却判定はbindingとclientVersionだけを見る。要求pageと最終currentPageを比較しない。,src/pdf-analysis/repository.js:141-217
47,PDF・分析,高,session終了競合後も既存participantの理解度signalを保存できる,修正済み。local検証済み,理解度signal保存時にactive session。active participant。current binding/page/versionを同時検証する。,src/pdf-analysis/repository.js,Stage 8 PDF,最初のparticipant INSERTはactive sessionを確認するが既存participant時は後段signal INSERTがlive_sessionsを再確認しない。,src/pdf-analysis/repository.js:276-390
48,PDF・分析,中,新PDF bind失敗でも旧PDFのanalytics snapshotが残る,修正済み。local検証済み,自動snapshot後にbind失敗した場合はsnapshotとauditを補償削除する。,src/routes/pdf-analysis.js; src/pdf-analysis/repository.js,Stage 8 PDF,routeは旧snapshotを先に確定し後からbindする。bind失敗時のsnapshot補償削除がない。,src/routes/pdf-analysis.js:28-48
49,PDF・分析,中,bind失敗前に既存PDF metadataを更新する,修正済み。local検証済み,PDF metadata更新とsession bindを一つのbatchへ統合した。失敗時に部分更新しない。,src/pdf-analysis/repository.js,Stage 8 PDF,`last_seen_at`と空fingerprintの補完をbind batchより先に実行する。後続失敗でも戻らない。,"src/pdf-analysis/repository.js:26-42,73-134"
50,PDF・分析,中,PDF新規登録競合でloser側fingerprintが失われる,修正済み。local検証済み,新規登録競合時も入力fingerprintを保持して再取得結果へ反映した。,src/pdf-analysis/repository.js,Stage 8 PDF,ON CONFLICT DO NOTHING後にwinner行を読むだけである。winnerがNULLでloserがfingerprintを持つ場合に補完しない。,src/pdf-analysis/repository.js:43-71
51,PDF・分析,高,Stage 8の監査ログがfail-openで欠落する,修正済み。local検証済み,PDF bind。snapshotとauditを同一batchへ統合した。audit失敗時は全体をrollbackする。,src/pdf-analysis/repository.js; src/routes/pdf-analysis.js,Stage 8 PDF,`safeAudit`は例外をconsoleへ出すだけでbind/snapshotを成功応答する。証跡必須仕様と不一致である。,src/routes/pdf-analysis.js:160-174
52,認証・アカウント・メール,高,password change確定後のSELECT失敗で利用者が全sessionを失う,修正済み。local検証済み,password change前にorganization contextを取得した。変更確定後の追加SELECTを廃止した。,src/routes/auth.js,Auth API,password更新・全session revoke・新session作成をbatch commitした後にorganization nameを別SELECTする。このSELECTが失敗すると500となり新cookieを返せない。,src/routes/auth.js:296-394
53,認証・アカウント・メール,中,招待revoke競合で虚偽auditが残る,修正済み。local検証済み,invitation revoke auditを実際の条件付き更新成功時だけinsertする。,src/routes/account-lifecycle.js; src/auth/audit.js,Account lifecycle。code review,条件付きUPDATEと無条件auditを同じbatchへ入れる。UPDATE changes=0でもauditはcommitし後から409を返す。,src/routes/account-lifecycle.js:303-332
54,認証・アカウント・メール,中,同時logoutで更新0のauditが残る,修正済み。local検証済み,logout auditを実際のsession revoke成功時だけinsertする。,src/routes/auth.js; src/auth/audit.js,Auth API。code review,複数要求が認証済みになった後に競合すると後発UPDATEは0件だがauditは無条件に追加される。,src/routes/auth.js:267-293
55,認証・アカウント・メール,中,同時CSRF発行で返却直後のtokenを別要求が削除できる,修正済み。local検証済み,CSRF同時刻順序をrowidで確定した。最新8件だけを保持する。,src/auth/csrf-tokens.js,Final hardening direct regression,各発行batchが上位8件だけ残す。多数同時発行かつ同一timestampではrandom id順により他応答の新tokenも削除対象になり得る。,src/auth/csrf-tokens.js:8-45
56,認証・アカウント・メール,低,session GET失敗時に不要なCSRF tokenが残る,修正済み。local検証済み,session context取得完了後だけsecondary CSRF tokenを発行する順序へ変更した。,src/routes/auth.js,Auth API。code review,secondary CSRFを発行してから最終session contextを読む。途中失効時は401だがtoken行は期限まで残る。,src/routes/auth.js:252-264
57,認証・アカウント・メール,高,login rate limiter障害時にfail-openする,修正済み。local検証済み,login limiter欠落又は例外を503 RATE_LIMIT_UNAVAILABLEへfail-closedした。,src/auth/rate-limit.js,Final hardening direct regression。Auth API,`limit()`例外をsuccess=trueへ変換する。limiter障害中は防御が消える。,src/auth/rate-limit.js:12-28
58,認証・アカウント・メール,高,公開メールrate limiter障害時にfail-openする,修正済み。local検証済み,公開メールlimiter欠落又は例外も503へfail-closedした。,src/auth/rate-limit.js; src/auth/public-auth-rate.js,Final hardening direct regression。email auth,binding自体が存在しても`limit()`例外は許可扱いになる。,src/auth/rate-limit.js:12-28; src/auth/public-auth-rate.js:18-20
59,認証・アカウント・メール,中,公開メールのrecipient/IP quota更新が非原子的である,修正済み。local検証済み,recipientとIP counterをD1 batchで原子的に更新した。,src/auth/public-auth-rate.js,Final hardening forced-failure regression,recipient counter更新後にIP counter更新が失敗するとrecipient quotaだけ消費される。,src/auth/public-auth-rate.js:22-29
60,認証・アカウント・メール,中,60秒edge rate limitでもRetry-Afterが翌UTC日までになる,修正済み。local検証済み,edge rate limitのRetry-Afterを60秒へ分離した。日次quotaだけ翌UTC日を返す。,src/auth/public-auth-rate.js,email auth。code review,edge rejectionにも日次counter用の`rateLimited()`を使う。実際のedge windowと応答headerが一致しない。,"src/auth/public-auth-rate.js:18-20,43-46"
61,認証・アカウント・メール,高,メール送信結果のDB更新失敗を黙殺しattemptがpendingに残る,修正済み。local検証済み,provider送信結果のDB更新を必須化した。更新失敗又は0件は503でfail-closedする。,src/auth/email-service.js,email auth。code review,provider送信済み又は失敗済みでも`safeComplete`例外を捨てる。監視と再送判断が不正確になる。,"src/auth/email-service.js:73-110,122-131"
62,コンテンツフィルター,致命,100件match上限で後続のreject語を検査しない,修正済み。local検証済み,全termを評価してdecisionを確定した後にresponse evidenceだけ100件へcapする。,src/content-filter/matcher.js,Final hardening direct regression,100件のreview matchで上限へ到達すると後続term loopを打ち切る。101文字の再現入力でreject語を含むのにaction=reviewとなった。,src/content-filter/matcher.js:10-30; dynamic reproduction
63,コンテンツフィルター,高,手動term上限がcount-then-insert競合で超過する,修正済み。local検証済み,active term上限2000をDB INSERT/UPDATE triggerで原子的に強制した。,migrations-v2/0017_final_integrity_hardening.sql,Final hardening migration。Stage 7.6,COUNT確認とINSERTが単一の条件付きSQL又は排他処理になっていない。並行作成で双方が上限未満と判定できる。,src/content-filter/repository.js:215-239
64,コンテンツフィルター,高,pack install上限がcount-then-batch競合で超過する,修正済み。local検証済み,pack installにも同じDB上限triggerを適用した。UPSERT upgradeは許可する。,migrations-v2/0017_final_integrity_hardening.sql; src/content-filter/repository.js,Stage 7.8 pack upgrade。dictionary audit,既存数確認とpack term挿入の間に他要求が入れる。複数install/updateで2000件を超え得る。,src/content-filter/repository.js:145-208
65,コンテンツフィルター,高,設定変更とauditが別transactionである,修正済み。local検証済み,policy。session setting。term。pack mutationとauditを同一D1 batchへ統合した。,src/content-filter/repository.js; src/routes/content-filter.js,Stage 7.6。Stage 7.8,term/policy/pack/session設定を確定した後に別batchでauditを書く。audit失敗時は状態だけ変わりAPIは500になる。,src/routes/content-filter.js: mutation routes
66,コンテンツフィルター,中,policy UPDATEの更新件数を検証しない,修正済み。local検証済み,policy UPDATEのchanges=1を必須にした。0件は明示エラーにする。,src/content-filter/repository.js,Stage 7.6。code review,対象policy行が欠落していても成功応答とauditへ進める。,src/content-filter/repository.js:279-292
67,コンテンツフィルター,低,pack pathの不正percent encodingがgeneric 500になる,修正済み。local検証済み,path decodeを専用関数で処理し不正percent encodingを400へ変換した。,src/routes/content-filter.js,Stage 7.6。code review,pack IDは直接decodeURIComponentされ例外変換されない。term pathのdecode helperとは挙動が不一致である。,"src/routes/content-filter.js:105-110,239"
68,コンテンツフィルター,高,上限超過状態になるとAPIからtermを削除して復旧できない,修正済み。local検証済み,上限検査を作成系へ限定した。既存termのDELETEは上限超過時も可能にした。,src/routes/content-filter.js; src/content-filter/repository.js,Stage 7.6。code review,PATCH/DELETE前に全term一覧を読む。一覧は2001件を検出すると409を投げるため削除処理へ到達しない。#63/#64の競合超過後に管理APIが自己復旧不能になる。,src/routes/content-filter.js:129-181; src/content-filter/repository.js:103-120
69,旧DB・V2二重投影,高,session終了の片側成功でDB間状態が分裂する,修正済み。local検証済み,V2終了失敗時にlegacy projectionを事前snapshotから復元する補償処理を追加した。,src/routes/private-v2.js,Private API,旧DBを先に終了しV2を後で更新する。V2失敗時は旧DB ended・V2 activeとなる。障害解消後の再試行で収束できる場合はあるがその間は不整合である。,src/routes/private-v2.js:443-470
70,旧DB・V2二重投影,高,session削除の片側成功でDB間状態が分裂する,修正済み。local検証済み,V2削除失敗時にlegacy projectionを事前snapshotから復元する補償処理を追加した。,src/routes/private-v2.js,Private API,旧DB削除を先に確定しV2削除を後で実行する。後段失敗時に一時的不整合となる。,src/routes/private-v2.js:499-526
71,APIデータ正確性,低,teacher APIが実在しないuser.localメールを返す,修正済み。local検証済み,teacher responseはverified email又はnullを返す。架空domainを生成しない。,src/routes/private-v2.js,Final hardening direct regression。Private API,認証済みemailではなく`${loginId}@user.local`を組み立てる。現UI利用は確認できないがAPI値は虚偽である。,src/routes/private-v2.js:1109-1116
